"","var","rel.inf","direction","pvalue"
"1","reporter__unknown",20.6634206588977,"pos",0
"2","drinking__unknown",16.6397001180314,"pos",0
"3","reporter__self_relatives",13.5290928671988,"neg",1.95023926674559e-219
"4","reporter__no_admit",9.20372697420517,"pos",3.91167363923301e-205
"5","referral_flag__no",5.87053280752193,"neg",0.0134798538928217
"6","vehicle_2__truck",5.49878830539616,"pos",6.57521246245644e-72
"7","year__",4.32408877110339,"neg",0.188909220058024
"8","age__",3.29372678494464,"pos",8.15776564543912e-49
"9","sex__male",1.98880099337558,"pos",1.5202297736435e-20
"10","vehicle_2__pickup_truck",1.86827034404199,"pos",4.45660545030906e-29
"11","location__urban",1.32905809557211,"neg",1.82956972196783e-13
"12","location__unknown",1.32017655798377,"neg",0.951849617158113
"13","referral_flag__refer_admit",1.27970312942907,"pos",1.62011675029623e-26
"14","vehicle_2__bus_big",0.921699433227737,"pos",1.74369417389653e-34
"15","belt__unknown",0.892352449502761,"pos",4.90897495218014e-129
"16","patient_status__pedestrian",0.81283987069547,"pos",5.86566623019213e-34
"17","ISO__67",0.734703061665014,"pos",0.371412713323369
"18","reporter__FR",0.720736511433282,"neg",0.868428448076556
"19","ISO__73",0.651164058372853,"pos",0.0406765716645378
"20","vehicle_1__motorcycle",0.640480349253726,"neg",8.81989382185764e-36
"21","vehicle_1__pickup_truck",0.608719228445467,"pos",1.35344093992783e-13
"22","vehicle_2__car_taxi",0.575846234254484,"pos",1.44717856438144e-12
"23","patient_status__unknown",0.519287630732537,"pos",1.78289730437246e-24
"24","vehicle_2__none",0.487411401640546,"neg",1.84289550386392e-55
"25","vehicle_1__unknown",0.472503240606143,"pos",0.00145589867186283
"26","reporter__BLS",0.469735773423086,"pos",0.435358830658996
"27","patient_status__passenger",0.444073276026537,"neg",7.83722186072937e-09
"28","date__",0.392473595152982,"pos",0.137121796354473
"29","ISO__34",0.378422392367911,"pos",0.0183870658452106
"30","vehicle_2__motorcycle",0.363682500172589,"neg",4.6820978010157e-08
"31","reporter__volunteers",0.329406264206481,"pos",0.0531481294935544
"32","vehicle_2__van",0.291864212186167,"pos",7.67636783396915e-06
"33","time__04010500",0.276093479041303,"pos",0.0107470068820074
"34","drinking__y",0.25174502230948,"neg",7.35406389514173e-06
"35","ISO__77",0.228040521465897,"pos",0.0298949435866284
"36","vehicle_1__car_taxi",0.220784030991174,"pos",1.27366909534485e-05
"37","time__05010600",0.158501500522416,"pos",8.22449692950499e-05
"38","vehicle_2__unknown",0.148258396459966,"pos",6.14485682828442e-21
"39","belt__helmet_on",0.130038004751603,"neg",5.94274833264741e-14
"40","ISO__25",0.12755667850907,"pos",0.958183665097248
"41","vehicle_1__none",0.111207202512555,"pos",2.64364469943061e-26
"42","vehicle_2__others",0.108174368640394,"pos",0.459746225943665
"43","vehicle_1__bus_big",0.0956193114244515,"pos",0.698249017899387
"44","belt__no",0.0838299734401227,"neg",1.08697537832511e-11
"45","location__rural",0.0726067387257611,"neg",3.18953730207802e-22
"46","time__02010300",0.0696427262645646,"pos",0.541211830176879
"47","time__24010100",0.0674726123338227,"pos",0.516165165117314
"48","ISO__92",0.0662782007783887,"neg",0.156041017020943
"49","time__18011900",0.0551687207725624,"pos",0.504896378589511
"50","ISO__86",0.0543782072538246,"pos",0.0938348226834025
"51","ISO__65",0.0490735271899063,"neg",0.814197491968936
"52","time__23012400",0.0478359303837697,"pos",0.0715763376988613
"53","ISO__63",0.0351691217674064,"neg",0.795343961609681
"54","ISO__36",0.0260378333940455,"neg",0.279631033392281
