"province","hospital_name","survive_rate","nb_cases"
"กระบี่","กระบี่",0.992378048780488,656
"กระบี่","คลองท่อม",0.994623655913978,186
"กระบี่","เขาพนม",0.99468085106383,188
"กระบี่","เหนือคลอง",0.99390243902439,164
"กระบี่","อ่าวลึก",0.990610328638498,213
"กรุงเทพมหานคร","นพรัตนราชธานี",0.988636363636364,264
"กรุงเทพมหานคร","นวมินทร์",0.996031746031746,252
"กรุงเทพมหานคร","เลิดสิน",0.995098039215686,204
"กรุงเทพมหานคร","ราชวิถี",0.989795918367347,196
"กรุงเทพมหานคร","ราษฏร์บูรณะ",0.990476190476191,210
"กรุงเทพมหานคร","ภูมิพลอดุลยเดช",1,322
"กรุงเทพมหานคร","วชิรพยาบาล",0.996621621621622,296
"กรุงเทพมหานคร","ศรีวิชัย 2  หนองแขม",0.984126984126984,189
"กรุงเทพมหานคร","ศรีวิชัย บางกอกน้อย 1",1,165
"กาญจนบุรี","ทองผาภูมิ",0.99438202247191,178
"กาญจนบุรี","พหลพลพยุหเสนา",0.99640933572711,557
"กาญจนบุรี","ไทรโยค",1,175
"กาญจนบุรี","มะการักษ์",0.993520518358531,463
"กาญจนบุรี","สมเด็จพระสังฆราชองค์ที่ ๑๙",0.996598639455782,294
"กาญจนบุรี","บ่อพลอย",0.986547085201794,223
"กำแพงเพชร","กำแพงเพชร",0.995481927710843,664
"กำแพงเพชร","ขาณุวรลักษบุรี",1,238
"กำแพงเพชร","คลองขลุง",0.986486486486487,222
"กำแพงเพชร","คลองลาน",0.987951807228916,166
"กาฬสินธุ์","กมลาไสย",1,231
"กาฬสินธุ์","กุฉินารายณ์",1,286
"กาฬสินธุ์","กาฬสินธุ์",1,507
"กาฬสินธุ์","คำม่วง",1,170
"กาฬสินธุ์","ยางตลาด",1,336
"กาฬสินธุ์","หนองกุงศรี",1,204
"กาฬสินธุ์","สมเด็จ",1,256
"จันทบุรี","ขลุง",0.985849056603774,212
"จันทบุรี","ตากสินจันทบุรี",1,331
"จันทบุรี","พระปกเกล้า",0.994318181818182,704
"จันทบุรี","นายายอาม",1,213
"จันทบุรี","แก่งหางแมว",1,175
"จันทบุรี","โป่งน้ำร้อน",0.994475138121547,181
"จันทบุรี","สอยดาว",0.994413407821229,179
"จันทบุรี","สิริเวช",0.996688741721854,302
"ขอนแก่น","กระนวน",0.99288256227758,281
"ขอนแก่น","ขอนแก่น",0.994266994266994,1221
"ขอนแก่น","พล",0.995423340961098,437
"ขอนแก่น","พระยืน",0.995169082125604,207
"ขอนแก่น","น้ำพอง",1,362
"ขอนแก่น","มัญจาคีรี",1,276
"ขอนแก่น","ชุมแพ",0.991694352159468,602
"ขอนแก่น","ภูเวียง",0.985294117647059,340
"ขอนแก่น","หนองเรือ",0.99112426035503,338
"ขอนแก่น","หนองสองห้อง",0.99288256227758,281
"ขอนแก่น","ศรีนครินทร์ คณะแพทย์ศาสตร์ ขอนแก่น",0.983561643835616,365
"ขอนแก่น","สีชมพู",0.992537313432836,268
"ขอนแก่น","สิรินธร",1,223
"ขอนแก่น","อุบลรัตน์",0.994845360824742,194
"ขอนแก่น","บ้านฝาง",0.991189427312775,227
"ขอนแก่น","บ้านไผ่",0.986486486486487,222
"ปทุมธานี","ธรรมศาสตร์เฉลิมพระเกียรติ",0.982532751091703,229
"ปทุมธานี","ธัญบุรี",1,208
"ปทุมธานี","ปทุมธานี",0.988603988603989,351
"ปทุมธานี","ปทุมเวช",0.994117647058824,340
"ปทุมธานี","ภัทร-ธนบุรี",1,163
"ประจวบคีรีขันธ์","กุยบุรี",0.975308641975309,162
"ประจวบคีรีขันธ์","ประจวบคีรีขันธ์",0.997777777777778,450
"ประจวบคีรีขันธ์","ปราณบุรี",0.98936170212766,282
"ประจวบคีรีขันธ์","ทับสะแก",0.98943661971831,284
"ประจวบคีรีขันธ์","หัวหิน",0.99442119944212,717
"ประจวบคีรีขันธ์","สามร้อยยอด",0.983122362869198,237
"ประจวบคีรีขันธ์","บางสะพาน",0.992857142857143,280
"ประจวบคีรีขันธ์","บางสะพานน้อย",0.975460122699387,163
"ปราจีนบุรี","กบินทร์บุรี",0.990697674418605,645
"ปราจีนบุรี","ประจันตคาม",1,205
"ปราจีนบุรี","นาดี",0.993079584775087,289
"ปราจีนบุรี","เจ้าพระยาอภัยภูเบศร",0.997767857142857,448
"ปราจีนบุรี","ศรีมหาโพธิ์",0.991279069767442,344
"ปัตตานี","ปัตตานี",0.997175141242938,354
"ฉะเชิงเทรา","จุฬารัตน์ 11",0.996884735202492,321
"ฉะเชิงเทรา","พนมสารคาม",0.989583333333333,384
"ฉะเชิงเทรา","แปลงยาว",1,260
"ฉะเชิงเทรา","เมืองฉะเชิงเทรา",0.994703389830508,944
"ฉะเชิงเทรา","สนามชัยเขต",0.995515695067265,223
"ฉะเชิงเทรา","บางคล้า",1,163
