"","time","nb_cases","nb_deaths","avg_deaths","avg_days"
"1","01010200",5106,61,0.0119467293380337,0.41186839012926
"2","02010300",3891,40,0.0102801336417373,0.397070161912105
"3","03010400",2818,42,0.0149041873669269,0.394960965223563
"4","04010500",2126,46,0.0216368767638758,0.385230479774224
"5","05010600",1986,30,0.0151057401812689,0.371601208459215
"6","06010700",2499,35,0.0140056022408964,0.349739895958383
"7","07010800",4946,55,0.0111200970481197,0.309138697937727
"8","08010900",6555,51,0.00778032036613272,0.26605644546148
"9","09011000",6453,50,0.00774833410816674,0.291182395784906
"10","10011100",7364,63,0.00855513307984791,0.308527973927213
"11","11011200",7842,72,0.00918133129303749,0.267406273909717
"12","12011300",8577,63,0.00734522560335782,0.295557887373207
"13","13011400",8660,64,0.00739030023094688,0.342725173210162
"14","14011500",9097,74,0.00813454985159943,0.324832362317247
"15","15011600",10539,100,0.00948856627763545,0.308757946674257
"16","16011700",13172,101,0.00766778013969025,0.302839356210143
"17","17011800",14175,90,0.00634920634920635,0.331358024691358
"18","18011900",14445,138,0.00955347871235722,0.361924541363794
"19","19012000",12102,104,0.00859362088910924,0.378449843001157
"20","20012100",10010,91,0.00909090909090909,0.375224775224775
"21","21012200",8260,75,0.00907990314769976,0.415980629539952
"22","22012300",6952,81,0.0116513233601841,0.418296892980437
"23","23012400",5465,55,0.010064043915828,0.333211344922232
"24","24010100",7298,92,0.0126061934776651,0.376952589750617
